subject,sender,body,label
"Verify your account now or it will be suspended","support@secure-bank-alert.com","Dear Customer, we detected unusual activity on your account. Click here to verify your identity immediately: http://bit.ly/2KdjX9. Failure to act within 24 hours will result in account suspension. Enter your password and SSN to confirm.","phishing"
"You've won a $1000 Walmart gift card!","promo@walmart-rewards.club","Congratulations! You have been selected to claim your $1000 reward. Click now to claim your prize before it expires: http://walmart-rewards.club/claim","phishing"
"Weekly team standup notes","sarah.lee@example.com","Hi all, here are the notes from this week's standup. We're on track for the release next Friday. Let me know if you have questions.","legitimate"
"Your Microsoft 365 subscription is expiring","billing@microsoft-renew.top","Dear user, your Office 365 subscription has expired. Update your payment information now to avoid service interruption: http://microsoft-renew.top/billing/update","phishing"
"Invoice #4521 from Acme Corp","billing@acmecorp.com","Hi, please find attached invoice #4521 for last month's services. Let us know if you have any questions about the charges.","legitimate"
"Confirm your Apple ID for security purposes","appleid@apple-secure-id.info","Dear Customer, your Apple ID has been locked due to suspicious activity. Verify your identity now: http://apple-secure-id.info/verify to restore access immediately.","phishing"
"Reminder: Dentist appointment tomorrow","reminders@dentalcareplus.com","This is a reminder that you have an appointment scheduled for tomorrow at 2:00 PM. Please arrive 10 minutes early.","legitimate"
"URGENT: Wire transfer required today","ceo.office@companymail-secure.net","Hi, I need you to process an urgent wire transfer today before the bank closes. This is time sensitive, please confirm you can do this now and I will send the account details.","phishing"
"Your package delivery failed","delivery@dhl-tracking-update.click","We attempted to deliver your package but failed. Click here to reschedule delivery and pay a small redelivery fee: http://dhl-tracking-update.click/reschedule","phishing"
"Quarterly newsletter - June 2026","newsletter@example.org","Welcome to our June newsletter! In this issue: product updates, upcoming events, and community highlights.","legitimate"
